state,x,y
Andhra Pradesh,-35,-122
Arunachal Pradesh,178,100
Assam,145,60
Bihar,47,45
Chhattisgarh,-9,-14
Gujarat,-162,13
Haryana,-88,102
Himachal Pradesh,-46,150
Jharkhand,41,15
Karnataka,-95,-134
Kerala,-99,-198
Madhya Pradesh,-63,5
Manipur,190,41
Meghalaya,128,47
Mizoram,170,16
Nagaland,200,60
Punjab,-92,140
Rajasthan,-125,69
Sikkim,88,82
Tamil Nadu,-55,-193
Telangana,-47,-83
Tripura,135,19
Uttarakhand,-25,115
West Bengal,93,5
Maharashtra,-108,-65
Goa,-130,-120
Odisha,34,-37
Uttar Pradesh,-10,60
Andaman And Nicobar Islands,196,-169
Dadra And Nagar Haveli And Daman And Diu,-152,-29
Jammu And Kashmir,-119,177
Lakshadweep,-164,-184
Chandigarh,-90,120
New Delhi,-70,90
Ladakh,-75,195
Pondicherry,-20,-170
